@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
130,'2017/03/27 17:19:49:164',2,0,0,0,0,0,0,0,?,?
131,'2017/03/27 17:19:49:187',2,0,0,0,0,0,0,0,?,?
132,'2017/03/27 17:19:49:208',2,0,0,0,0,0,0,0,?,?
133,'2017/03/27 17:19:49:225',2,0,0,0,0,0,0,0,?,?
134,'2017/03/27 17:19:49:247',2,0,0,0,0,0,0,0,?,?
135,'2017/03/27 17:19:49:269',2,0,0,0,0,0,0,0,?,?
136,'2017/03/27 17:19:49:284',2,0,0,0,0,0,0,0,?,?
137,'2017/03/27 17:19:49:307',2,0,0,0,0,0,0,0,?,?
138,'2017/03/27 17:19:49:328',2,0,0,0,0,0,0,0,?,?
139,'2017/03/27 17:19:49:344',2,0,0,0,0,0,0,0,?,?
140,'2017/03/27 17:20:01:501',3,0,0,0,0,0,0,0,?,?
141,'2017/03/27 17:20:01:517',3,0,0,0,0,0,0,0,?,?
142,'2017/03/27 17:20:01:539',3,0,0,0,0,0,0,0,?,?
143,'2017/03/27 17:20:01:561',3,0,0,0,0,0,0,0,?,?
144,'2017/03/27 17:20:01:578',3,0,0,0,0,0,0,0,?,?
145,'2017/03/27 17:20:01:600',3,0,0,0,0,0,0,0,?,?
146,'2017/03/27 17:20:01:621',3,0,0,0,0,0,0,0,?,?
147,'2017/03/27 17:20:01:637',3,0,0,0,0,0,0,0,?,?
148,'2017/03/27 17:20:01:660',3,0,0,0,0,0,0,0,?,?
149,'2017/03/27 17:20:01:681',3,0,0,0,0,0,0,0,?,?
150,'2017/03/27 17:20:01:697',3,0,0,0,0,0,0,0,?,?
151,'2017/03/27 17:20:01:720',3,0,0,0,0,0,0,0,?,?
152,'2017/03/27 17:20:01:742',3,0,0,0,0,0,0,0,?,?
153,'2017/03/27 17:20:01:757',3,0,0,0,0,0,0,0,?,?
154,'2017/03/27 17:20:01:780',3,0,0,0,0,0,0,0,?,?
155,'2017/03/27 17:20:01:801',3,0,0,0,0,0,0,0,?,?
156,'2017/03/27 17:20:01:817',3,0,0,0,0,0,0,0,?,?
157,'2017/03/27 17:20:01:840',3,0,0,0,0,0,0,0,?,?
158,'2017/03/27 17:20:01:862',3,0,0,0,0,0,0,0,?,?
159,'2017/03/27 17:20:01:883',3,0,0,0,0,0,0,0,?,?
160,'2017/03/27 17:20:01:899',3,0,0,0,0,0,0,0,?,?
161,'2017/03/27 17:20:01:922',3,0,0,0,0,0,0,0,?,?
162,'2017/03/27 17:20:01:937',3,0,0,0,0,0,0,0,?,?
163,'2017/03/27 17:20:01:960',3,0,0,0,0,0,0,0,?,?
164,'2017/03/27 17:20:01:982',3,0,0,0,0,0,0,0,?,?
165,'2017/03/27 17:20:01:996',3,0,0,0,0,0,0,0,?,?
166,'2017/03/27 17:20:02:020',3,0,0,0,0,0,0,0,?,?
167,'2017/03/27 17:20:02:043',3,0,0,0,0,0,0,0,?,?
168,'2017/03/27 17:20:02:056',3,0,0,0,0,0,0,0,?,?
169,'2017/03/27 17:20:02:079',3,0,0,0,0,0,0,0,?,?
170,'2017/03/27 17:20:02:102',3,0,0,0,0,0,0,0,?,?
171,'2017/03/27 17:20:02:117',3,0,0,0,0,0,0,0,?,?
172,'2017/03/27 17:20:02:140',3,0,0,0,0,0,0,0,?,?
173,'2017/03/27 17:20:02:162',3,0,0,0,0,0,0,0,?,?
174,'2017/03/27 17:20:02:176',3,0,0,0,0,0,0,0,?,?
175,'2017/03/27 17:20:02:200',3,0,0,0,0,0,0,0,?,?
176,'2017/03/27 17:20:02:222',3,0,0,0,0,0,0,0,?,?
177,'2017/03/27 17:20:02:236',3,0,0,0,0,0,0,0,?,?
178,'2017/03/27 17:20:02:260',3,0,0,0,0,0,0,0,?,?
179,'2017/03/27 17:20:02:282',3,0,0,0,0,0,0,0,?,?
180,'2017/03/27 17:20:02:296',3,0,0,0,0,0,0,0,?,?
181,'2017/03/27 17:20:02:319',3,0,0,0,0,0,0,0,?,?
182,'2017/03/27 17:20:02:343',3,0,0,0,0,0,0,0,?,?
183,'2017/03/27 17:20:02:363',3,0,0,0,0,0,0,0,?,?
184,'2017/03/27 17:20:02:380',3,0,0,0,0,0,0,0,?,?
185,'2017/03/27 17:20:02:409',3,0,0,0,0,0,0,0,?,?
186,'2017/03/27 17:20:02:423',3,0,0,0,0,0,0,0,?,?
187,'2017/03/27 17:20:02:440',3,0,0,0,0,0,0,0,?,?
188,'2017/03/27 17:20:02:462',3,0,0,0,0,0,0,0,?,?
189,'2017/03/27 17:20:02:483',3,0,0,0,0,0,0,0,?,?
190,'2017/03/27 17:20:02:499',3,0,0,0,0,0,0,0,?,?
191,'2017/03/27 17:20:02:522',3,0,0,0,0,0,0,0,?,?
192,'2017/03/27 17:20:02:543',3,0,0,0,0,0,0,0,?,?
193,'2017/03/27 17:20:02:559',3,0,0,0,0,0,0,0,?,?
194,'2017/03/27 17:20:02:582',3,0,0,0,0,0,0,0,?,?
195,'2017/03/27 17:20:02:603',3,0,0,0,0,0,0,0,?,?
196,'2017/03/27 17:20:02:620',3,0,0,0,0,0,0,0,?,?
197,'2017/03/27 17:20:02:642',3,0,0,0,0,0,0,0,?,?
198,'2017/03/27 17:20:02:663',3,0,0,0,0,0,0,0,?,?
199,'2017/03/27 17:20:02:687',3,0,0,0,0,0,0,0,?,?
200,'2017/03/27 17:20:02:702',3,0,0,0,0,0,0,0,?,?
201,'2017/03/27 17:20:02:723',3,0,0,0,0,0,0,0,?,?
202,'2017/03/27 17:20:02:740',3,0,0,0,0,0,0,0,?,?
203,'2017/03/27 17:20:02:762',3,0,0,0,0,0,0,0,?,?
204,'2017/03/27 17:20:02:783',3,0,0,0,0,0,0,0,?,?
205,'2017/03/27 17:20:02:799',3,0,0,0,0,0,0,0,?,?
206,'2017/03/27 17:20:02:822',3,0,0,0,0,0,0,0,?,?
207,'2017/03/27 17:20:02:845',3,0,0,0,0,0,0,0,?,?
208,'2017/03/27 17:20:02:860',3,0,0,0,0,0,0,0,?,?
209,'2017/03/27 17:20:02:882',3,0,0,0,0,0,0,0,?,?
210,'2017/03/27 17:20:02:905',3,0,0,0,0,0,0,0,?,?
211,'2017/03/27 17:20:02:923',3,0,0,0,0,0,0,0,?,?
212,'2017/03/27 17:20:02:943',3,0,0,0,0,0,0,0,?,?
213,'2017/03/27 17:20:02:965',3,0,0,0,0,0,0,0,?,?
214,'2017/03/27 17:20:02:979',3,0,0,0,0,0,0,0,?,?
215,'2017/03/27 17:20:03:004',3,0,0,0,0,0,0,0,?,?
216,'2017/03/27 17:20:03:025',3,0,0,0,0,0,0,0,?,?
217,'2017/03/27 17:20:03:041',3,0,0,0,0,0,0,0,?,?
218,'2017/03/27 17:20:03:063',3,0,0,0,0,0,0,0,?,?
219,'2017/03/27 17:20:03:084',3,0,0,0,0,0,0,0,?,?
220,'2017/03/27 17:20:03:099',3,0,0,0,0,0,0,0,?,?
221,'2017/03/27 17:20:03:128',3,0,0,0,0,0,0,0,?,?
222,'2017/03/27 17:20:03:144',3,0,0,0,0,0,0,0,?,?
223,'2017/03/27 17:20:03:159',3,0,0,0,0,0,0,0,?,?
224,'2017/03/27 17:20:03:182',3,0,0,0,0,0,0,0,?,?
225,'2017/03/27 17:20:03:205',3,0,0,0,0,0,0,0,?,?
226,'2017/03/27 17:20:03:219',3,0,0,0,0,0,0,0,?,?
227,'2017/03/27 17:20:03:242',3,0,0,0,0,0,0,0,?,?
228,'2017/03/27 17:20:03:265',3,0,0,0,0,0,0,0,?,?
229,'2017/03/27 17:20:03:279',3,0,0,0,0,0,0,0,?,?
230,'2017/03/27 17:20:03:302',3,0,0,0,0,0,0,0,?,?
231,'2017/03/27 17:20:03:325',3,0,0,0,0,0,0,0,?,?
232,'2017/03/27 17:20:03:346',3,0,0,0,0,0,0,0,?,?
233,'2017/03/27 17:20:03:362',3,0,0,0,0,0,0,0,?,?
234,'2017/03/27 17:20:03:385',3,0,0,0,0,0,0,0,?,?
235,'2017/03/27 17:20:03:406',3,0,0,0,0,0,0,0,?,?
236,'2017/03/27 17:20:03:423',3,0,0,0,0,0,0,0,?,?
237,'2017/03/27 17:20:03:445',3,0,0,0,0,0,0,0,?,?
238,'2017/03/27 17:20:03:466',3,0,0,0,0,0,0,0,?,?
239,'2017/03/27 17:20:03:482',3,0,0,0,0,0,0,0,?,?
240,'2017/03/27 17:20:03:506',3,0,0,0,0,0,0,0,?,?
241,'2017/03/27 17:20:03:526',3,0,0,0,0,0,0,0,?,?
242,'2017/03/27 17:20:03:543',3,0,0,0,0,0,0,0,?,?
243,'2017/03/27 17:20:03:565',3,0,0,0,0,0,0,0,?,?
244,'2017/03/27 17:20:03:587',3,0,0,0,0,0,0,0,?,?
245,'2017/03/27 17:20:03:602',3,0,0,0,0,0,0,0,?,?
246,'2017/03/27 17:20:03:625',3,0,0,0,0,0,0,0,?,?
247,'2017/03/27 17:20:03:646',3,0,0,0,0,0,0,0,?,?
248,'2017/03/27 17:20:03:662',3,0,0,0,0,0,0,0,?,?
249,'2017/03/27 17:20:03:684',3,0,0,0,0,0,0,0,?,?
250,'2017/03/27 17:20:03:691',3,0,0,0,0,0,0,0,?,?
251,'2017/03/27 17:20:03:713',3,0,0,0,0,0,0,0,?,?
252,'2017/03/27 17:20:03:728',3,0,0,0,0,0,0,0,?,?
253,'2017/03/27 17:20:03:750',3,0,0,0,0,0,0,0,?,?
254,'2017/03/27 17:20:03:772',3,0,0,0,0,0,0,0,?,?
255,'2017/03/27 17:20:03:788',3,0,0,0,0,0,0,0,?,?
256,'2017/03/27 17:20:03:810',3,0,0,0,0,0,0,0,?,?
257,'2017/03/27 17:20:03:835',3,0,0,0,0,0,0,0,?,?
258,'2017/03/27 17:20:03:847',3,0,0,0,0,0,0,0,?,?
259,'2017/03/27 17:20:03:870',3,0,0,0,0,0,0,0,?,?
260,'2017/03/27 17:20:03:893',3,0,0,0,0,0,0,0,?,?
261,'2017/03/27 17:20:03:907',3,0,0,0,0,0,0,0,?,?
262,'2017/03/27 17:20:03:930',3,0,0,0,0,0,0,0,?,?
263,'2017/03/27 17:20:03:952',3,0,0,0,0,0,0,0,?,?
264,'2017/03/27 17:20:03:967',3,0,0,0,0,0,0,0,?,?
265,'2017/03/27 17:20:03:991',3,0,0,0,0,0,0,0,?,?
266,'2017/03/27 17:20:04:013',3,0,0,0,0,0,0,0,?,?
267,'2017/03/27 17:20:04:028',3,0,0,0,0,0,0,0,?,?
268,'2017/03/27 17:20:04:050',3,0,0,0,0,0,0,0,?,?
